epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
46,374,,1.0,,0.0015561091713607311,,
46,375,,,,,1.0,0.03515537455677986
46,375,1.0,,0.0015161744086071849,,,
47,379,,1.0,,0.0007697168621234596,,
47,383,,,,,1.0,0.035062629729509354
47,383,1.0,,0.0014486177824437618,,,
48,384,,1.0,,0.0014511285116896033,,
48,389,,1.0,,0.0008963984437286854,,
48,391,,,,,1.0,0.03496135026216507
48,391,1.0,,0.0013855616562068462,,,
49,394,,1.0,,0.0031344315502792597,,
49,399,,1.0,,0.001841636374592781,,
49,399,,,,,1.0,0.03493836894631386
49,399,1.0,,0.0013265367597341537,,,
50,404,,1.0,,0.0009081088937819004,,
50,407,,,,,1.0,0.03487267345190048
50,407,1.0,,0.0012702724197879434,,,
51,409,,1.0,,0.0007852966664358974,,
51,414,,1.0,,0.0012384125730022788,,
51,415,,,,,1.0,0.034776538610458374
51,415,1.0,,0.0012185275554656982,,,
52,419,,1.0,,0.0006297581130638719,,
52,423,,,,,1.0,0.03472528234124184
52,423,1.0,,0.0011699623428285122,,,
53,424,,1.0,,0.0011805517133325338,,
53,429,,1.0,,0.000732341140974313,,
53,431,,,,,1.0,0.03469737246632576
53,431,1.0,,0.0011235864367336035,,,
54,434,,1.0,,0.0025522892829030752,,
54,439,,1.0,,0.001498172408901155,,
54,439,,,,,1.0,0.034604303538799286
54,439,1.0,,0.0010801409371197224,,,
55,444,,1.0,,0.0007469003321602941,,
55,447,,,,,1.0,0.034569352865219116
55,447,1.0,,0.001039776485413313,,,
56,449,,1.0,,0.0006381775019690394,,
56,454,,1.0,,0.0010070473654195666,,
56,455,,,,,1.0,0.034597136080265045
56,455,1.0,,0.0010008213575929403,,,
57,459,,1.0,,0.0005254471907392144,,
57,463,,,,,1.0,0.03455151244997978
57,463,1.0,,0.0009637153707444668,,,
58,464,,1.0,,0.0009779271204024553,,
58,469,,1.0,,0.0006075796554796398,,
58,471,,,,,1.0,0.0344843789935112
58,471,1.0,,0.0009294017218053341,,,
59,474,,1.0,,0.0021200410556048155,,
59,479,,1.0,,0.0012426996836438775,,
59,479,,,,,1.0,0.03446376696228981
59,479,1.0,,0.0008970992639660835,,,
60,484,,1.0,,0.0006245951517485082,,
60,487,,,,,1.0,0.034478940069675446
60,487,1.0,,0.0008659164304845035,,,
61,489,,1.0,,0.0005277747404761612,,
61,494,,1.0,,0.0008355354657396674,,
61,495,,,,,1.0,0.03446339815855026
61,495,1.0,,0.0008363663800992072,,,
62,499,,1.0,,0.00044530967716127634,,
62,503,,,,,1.0,0.03443998098373413
62,503,1.0,,0.0008082764106802642,,,
63,504,,1.0,,0.0008250660030171275,,
63,509,,1.0,,0.000512781785801053,,
63,511,,,,,1.0,0.03440428525209427
63,511,1.0,,0.0007816831348463893,,,
64,514,,1.0,,0.0017886263085529208,,
64,519,,1.0,,0.001050040009431541,,
64,519,,,,,1.0,0.03440036252140999
64,519,1.0,,0.0007564230472780764,,,
65,524,,1.0,,0.0005301216151565313,,
65,527,,,,,1.0,0.034347694367170334
65,527,1.0,,0.0007322950987145305,,,
66,529,,1.0,,0.00044361018808558583,,
66,534,,1.0,,0.0007041990756988525,,
66,535,,,,,1.0,0.034365832805633545
