epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
37,299,,,,1.0,,0.004740098025649786,,
37,303,,,,,,,1.0,0.010918528772890568
37,303,,,1.0,,0.0028030460234731436,,,
38,304,,,,1.0,,0.005121940281242132,,
38,309,,,,1.0,,0.0017616674304008484,,
38,311,,,,,,,1.0,0.01062298659235239
38,311,,,1.0,,0.002646692330017686,,,
39,314,,,,1.0,,0.0010027466341853142,,
39,319,,,,1.0,,1.6689160474925302e-05,,
39,319,,,,,,,1.0,0.010344097390770912
39,319,,,1.0,,0.0025031678378582,,,
40,324,,,,1.0,,0.0017575748497620225,,
40,327,,,,,,,1.0,0.010083022527396679
40,327,,,1.0,,0.002370731672272086,,,
41,329,,,,1.0,,0.003295860718935728,,
41,334,,,,1.0,,0.00033994257682934403,,
41,335,,,,,,,1.0,0.009833989664912224
41,335,,,1.0,,0.002247887197881937,,,
42,339,,,,1.0,,0.0036338847130537033,,
42,343,,,,,,,1.0,0.009590771980583668
42,343,,,1.0,,0.002134831389412284,,,
43,344,,,,1.0,,0.003939559683203697,,
43,349,,,,1.0,,0.0013401346514001489,,
43,351,,,,,,,1.0,0.009364445693790913
43,351,,,1.0,,0.0020299535244703293,,,
44,354,,,,1.0,,0.0007789502269588411,,
44,359,,,,1.0,,1.156323378381785e-05,,
44,359,,,,,,,1.0,0.009152875281870365
44,359,,,1.0,,0.0019332102965563536,,,
45,364,,,,1.0,,0.001383999828249216,,
45,367,,,,,,,1.0,0.00895597506314516
45,367,,,1.0,,0.0018432589713484049,,,
46,369,,,,1.0,,0.0025518941693007946,,
46,374,,,,1.0,,0.0002612481184769422,,
46,375,,,,,,,1.0,0.008759981021285057
46,375,,,1.0,,0.0017591780051589012,,,
47,379,,,,1.0,,0.0028714234940707684,,
47,383,,,,,,,1.0,0.008573955856263638
47,383,,,1.0,,0.0016807756619527936,,,
48,384,,,,1.0,,0.0031308766920119524,,
48,389,,,,1.0,,0.0010507090482860804,,
48,391,,,,,,,1.0,0.008398608304560184
48,391,,,1.0,,0.001607496291399002,,,
49,394,,,,1.0,,0.0006243932875804603,,
49,399,,,,1.0,,8.34461570775602e-06,,
49,399,,,,,,,1.0,0.008230006322264671
49,399,,,1.0,,0.0015392681816592813,,,
50,404,,,,1.0,,0.0011200351873412728,,
50,407,,,,,,,1.0,0.008070599287748337
50,407,,,1.0,,0.0014749036636203527,,,
51,409,,,,1.0,,0.0020279085729271173,,
51,414,,,,1.0,,0.0002067545719910413,,
51,415,,,,,,,1.0,0.007918714545667171
51,415,,,1.0,,0.0014147392939776182,,,
52,419,,,,1.0,,0.0023299753665924072,,
52,423,,,,,,,1.0,0.007772405631840229
52,423,,,1.0,,0.001357917208224535,,,
53,424,,,,1.0,,0.0025475022848695517,,
53,429,,,,1.0,,0.0008451867033727467,,
53,431,,,,,,,1.0,0.0076280804350972176
53,431,,,1.0,,0.0013044080697000027,,,
54,434,,,,1.0,,0.0005126057076267898,,
54,439,,,,1.0,,6.198863957251888e-06,,
54,439,,,,,,,1.0,0.007492553908377886
54,439,,,1.0,,0.0012545499484986067,,,
55,444,,,,1.0,,0.0009224690729752183,,
55,447,,,,,,,1.0,0.007362415082752705
55,447,,,1.0,,0.0012070495868101716,,,
56,449,,,,1.0,,0.001651061000302434,,
56,454,,,,1.0,,0.00016738251724746078,,
56,455,,,,,,,1.0,0.007236919831484556
56,455,,,1.0,,0.001162348547950387,,,
57,459,,,,1.0,,0.0019296002574265003,,
57,463,,,,,,,1.0,0.007116461638361216
57,463,,,1.0,,0.001119821215979755,,,
58,464,,,,1.0,,0.002115342067554593,,
58,469,,,,1.0,,0.0006949685048311949,,
58,471,,,,,,,1.0,0.007002540398389101
58,471,,,1.0,,0.00107981835026294,,,
59,474,,,,1.0,,0.0004285821341909468,,
59,479,,,,1.0,,4.887569048150908e-06,,
59,479,,,,,,,1.0,0.006890901364386082
59,479,,,1.0,,0.0010417820885777473,,,
60,484,,,,1.0,,0.0007728749769739807,,
60,487,,,,,,,1.0,0.006780159194022417
60,487,,,1.0,,0.0010058404877781868,,,
61,489,,,,1.0,,0.0013679753756150603,,
61,494,,,,1.0,,0.0001381406036671251,,
61,495,,,,,,,1.0,0.006675679236650467
61,495,,,1.0,,0.0009716760250739753,,,
62,499,,,,1.0,,0.001625560107640922,,
62,503,,,,,,,1.0,0.006575420033186674
62,503,,,1.0,,0.0009391719941049814,,,
63,504,,,,1.0,,0.0017820587381720543,,
63,509,,,,1.0,,0.0005812207818962634,,
63,511,,,,,,,1.0,0.006476827897131443
63,511,,,1.0,,0.000908306275960058,,,
64,514,,,,1.0,,0.0003643865347839892,,
64,519,,,,1.0,,3.814689989667386e-06,,
64,519,,,,,,,1.0,0.006381842773407698
64,519,,,1.0,,0.0008789901621639729,,,
65,524,,,,1.0,,0.000656810007058084,,
65,527,,,,,,,1.0,0.006290310062468052
65,527,,,1.0,,0.0008511203341186047,,,
66,529,,,,1.0,,0.0011501795379444957,,
66,534,,,,1.0,,0.00011586663458729163,,
66,535,,,,,,,1.0,0.0062010930851101875
66,535,,,1.0,,0.0008243346237577498,,,
67,539,,,,1.0,,0.0013862875057384372,,
67,543,,,,,,,1.0,0.006115313619375229
67,543,,,1.0,,0.0007989188889041543,,,
68,544,,,,1.0,,0.0015244089299812913,,
68,549,,,,1.0,,0.0004932395531795919,,
68,551,,,,,,,1.0,0.006032795179635286
68,551,,,1.0,,0.0007746613118797541,,,
69,554,,,,1.0,,0.0003135867300443351,,
69,559,,,,1.0,,2.9802276912960224e-06,,
69,559,,,,,,,1.0,0.005953288171440363
69,559,,,1.0,,0.0007513756863772869,,,
70,564,,,,1.0,,0.0005648909136652946,,
70,567,,,,,,,1.0,0.005873844493180513
70,567,,,1.0,,0.0007292468217201531,,,
71,569,,,,1.0,,0.0009808798786252737,,
71,574,,,,1.0,,9.852885705186054e-05,,
71,575,,,,,,,1.0,0.005797755438834429
71,575,,,1.0,,0.0007079676142893732,,,
72,579,,,,1.0,,0.0011974601075053215,,
72,583,,,,,,,1.0,0.00572747178375721
72,583,,,1.0,,0.0006876050611026585,,,
73,584,,,,1.0,,0.001316638896241784,,
73,589,,,,1.0,,0.00042377409408800304,,
73,591,,,,,,,1.0,0.0056580714881420135
73,591,,,1.0,,0.0006682181847281754,,,
74,594,,,,1.0,,0.00027285516262054443,,
74,599,,,,1.0,,2.50339189733495e-06,,
74,599,,,,,,,1.0,0.005588727071881294
74,599,,,1.0,,0.0006495578563772142,,,
75,604,,,,1.0,,0.0004904692759737372,,
75,607,,,,,,,1.0,0.005520685110241175
75,607,,,1.0,,0.0006316070212051272,,,
76,609,,,,1.0,,0.0008455715142190456,,
76,614,,,,1.0,,8.471297769574448e-05,,
76,615,,,,,,,1.0,0.005454604513943195
76,615,,,1.0,,0.0006145285442471504,,,
77,619,,,,1.0,,0.0010443213395774364,,
77,623,,,,,,,1.0,0.005391883663833141
77,623,,,1.0,,0.0005980551359243691,,,
78,624,,,,1.0,,0.0011486576404422522,,
78,629,,,,1.0,,0.0003676096675917506,,
78,631,,,,,,,1.0,0.005330672487616539
78,631,,,1.0,,0.0005821831873618066,,,
79,634,,,,1.0,,0.00023941748077049851,,
79,639,,,,1.0,,1.9073468138230965e-06,,
79,639,,,,,,,1.0,0.005271585658192635
79,639,,,1.0,,0.0005669667152687907,,,
80,644,,,,1.0,,0.0004288917116355151,,
80,647,,,,,,,1.0,0.005214192904531956
80,647,,,1.0,,0.000552284182049334,,,
81,649,,,,1.0,,0.0007366752251982689,,
81,654,,,,1.0,,7.357042341027409e-05,,
81,655,,,,,,,1.0,0.005156792234629393
81,655,,,1.0,,0.0005381607334129512,,,
82,659,,,,1.0,,0.0009198249317705631,,
82,663,,,,,,,1.0,0.005100096110254526
