epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,4,,,,0.5,,1.0097311735153198,,
0,7,,,,,,,0.7586206793785095,0.9322941303253174
0,7,,,0.38053098320961,,1.0330071449279785,,,
1,9,,,,0.6875,,0.9708478450775146,,
1,14,,,,0.9375,,0.7732061147689819,,
1,15,,,,,,,0.9655172228813171,0.7674984335899353
1,15,,,0.8849557638168335,,0.8514783978462219,,,
2,19,,,,0.875,,0.7333869934082031,,
2,23,,,,,,,0.9655172228813171,0.6117748618125916
2,23,,,0.9469026327133179,,0.684537947177887,,,
3,24,,,,0.9375,,0.5986648797988892,,
3,29,,,,0.9375,,0.47782814502716064,,
3,31,,,,,,,1.0,0.46588295698165894
3,31,,,0.9646017551422119,,0.5227430462837219,,,
4,34,,,,1.0,,0.40490037202835083,,
4,39,,,,1.0,,0.3488379120826721,,
4,39,,,,,,,1.0,0.3295617997646332
4,39,,,0.9734513163566589,,0.3840053081512451,,,
5,44,,,,1.0,,0.1844879388809204,,
5,47,,,,,,,1.0,0.23249591886997223
5,47,,,0.9734513163566589,,0.2693275213241577,,,
6,49,,,,1.0,,0.1894596964120865,,
6,54,,,,1.0,,0.11583907157182693,,
6,55,,,,,,,1.0,0.16537323594093323
6,55,,,0.9734513163566589,,0.19067324697971344,,,
7,59,,,,1.0,,0.1412932574748993,,
7,63,,,,,,,1.0,0.12233013659715652
7,63,,,0.982300877571106,,0.13660931587219238,,,
8,64,,,,0.9375,,0.12957701086997986,,
8,69,,,,1.0,,0.10217956453561783,,
8,71,,,,,,,1.0,0.09726999700069427
8,71,,,0.982300877571106,,0.10627251863479614,,,
9,74,,,,0.9375,,0.13284637033939362,,
9,79,,,,1.0,,0.23205207288265228,,
9,79,,,,,,,1.0,0.08144059777259827
9,79,,,0.991150438785553,,0.08228868991136551,,,
10,84,,,,1.0,,0.06895218789577484,,
10,87,,,,,,,1.0,0.07657669484615326
10,87,,,0.991150438785553,,0.06937865167856216,,,
11,89,,,,1.0,,0.02618982456624508,,
11,94,,,,1.0,,0.028148995712399483,,
11,95,,,,,,,1.0,0.06390005350112915
11,95,,,0.991150438785553,,0.05806262046098709,,,
12,99,,,,1.0,,0.03230239450931549,,
12,103,,,,,,,1.0,0.053181812167167664
12,103,,,1.0,,0.04585074633359909,,,
13,104,,,,1.0,,0.017772255465388298,,
13,109,,,,1.0,,0.04866195097565651,,
13,111,,,,,,,1.0,0.044744934886693954
13,111,,,1.0,,0.03956953436136246,,,
14,114,,,,1.0,,0.016250602900981903,,
14,119,,,,1.0,,0.021732870489358902,,
14,119,,,,,,,1.0,0.04148029908537865
14,119,,,1.0,,0.03349681198596954,,,
15,124,,,,1.0,,0.03625991940498352,,
15,127,,,,,,,1.0,0.037217848002910614
15,127,,,1.0,,0.029234759509563446,,,
16,129,,,,1.0,,0.01901479996740818,,
16,134,,,,1.0,,0.0371951162815094,,
16,135,,,,,,,1.0,0.032956913113594055
16,135,,,1.0,,0.025798024609684944,,,
17,139,,,,1.0,,0.03517814353108406,,
17,143,,,,,,,1.0,0.031503286212682724
17,143,,,1.0,,0.022687843069434166,,,
18,144,,,,1.0,,0.007763845846056938,,
18,149,,,,1.0,,0.0062888921238482,,
18,151,,,,,,,1.0,0.0290138591080904
18,151,,,1.0,,0.019669298082590103,,,
19,154,,,,1.0,,0.009699592366814613,,
19,159,,,,1.0,,6.747018051100895e-05,,
19,159,,,,,,,1.0,0.026773830875754356
19,159,,,1.0,,0.017698189243674278,,,
20,164,,,,1.0,,0.032042328268289566,,
20,167,,,,,,,1.0,0.02445821836590767
20,167,,,1.0,,0.01566126011312008,,,
21,169,,,,1.0,,0.008264400996267796,,
21,174,,,,1.0,,0.006222540978342295,,
21,175,,,,,,,1.0,0.023311275988817215
21,175,,,1.0,,0.014132521115243435,,,
22,179,,,,1.0,,0.022054150700569153,,
22,183,,,,,,,1.0,0.022300275042653084
22,183,,,1.0,,0.012670177035033703,,,
23,184,,,,1.0,,0.011913351714611053,,
23,189,,,,1.0,,0.012831532396376133,,
23,191,,,,,,,1.0,0.021382085978984833
23,191,,,1.0,,0.011656107380986214,,,
24,194,,,,1.0,,0.011859125457704067,,
24,199,,,,1.0,,0.008777251467108727,,
24,199,,,,,,,1.0,0.020515168085694313
24,199,,,1.0,,0.010717127472162247,,,
25,204,,,,1.0,,0.01224916148930788,,
25,207,,,,,,,1.0,0.02049414813518524
25,207,,,1.0,,0.009903077967464924,,,
26,209,,,,1.0,,0.006375145632773638,,
26,214,,,,1.0,,0.009125787764787674,,
26,215,,,,,,,1.0,0.019808709621429443
26,215,,,1.0,,0.009177925996482372,,,
27,219,,,,1.0,,0.005642461124807596,,
27,223,,,,,,,1.0,0.019669799134135246
27,223,,,1.0,,0.008466368541121483,,,
28,224,,,,1.0,,0.008016983047127724,,
28,229,,,,1.0,,0.004856329411268234,,
28,231,,,,,,,1.0,0.020581144839525223
28,231,,,1.0,,0.00810228381305933,,,
29,234,,,,1.0,,0.01008435245603323,,
29,239,,,,1.0,,0.0014319891342893243,,
29,239,,,,,,,1.0,0.018776074051856995
29,239,,,1.0,,0.007545110769569874,,,
30,244,,,,1.0,,0.007072885520756245,,
30,247,,,,,,,1.0,0.01720868982374668
30,247,,,1.0,,0.006901049520820379,,,
31,249,,,,1.0,,0.001875945832580328,,
31,254,,,,1.0,,0.004674759693443775,,
31,255,,,,,,,1.0,0.016262900084257126
31,255,,,1.0,,0.0062781283631920815,,,
32,259,,,,1.0,,0.006265695206820965,,
32,263,,,,,,,1.0,0.015089552849531174
32,263,,,1.0,,0.005933287087827921,,,
33,264,,,,1.0,,0.009851165115833282,,
33,269,,,,1.0,,0.001538831158541143,,
33,271,,,,,,,1.0,0.014889099635183811
33,271,,,1.0,,0.005542219616472721,,,
34,274,,,,1.0,,0.008019217289984226,,
34,279,,,,1.0,,0.0008736607851460576,,
34,279,,,,,,,1.0,0.014544201083481312
34,279,,,1.0,,0.005193861201405525,,,
35,284,,,,1.0,,0.006135556381195784,,
35,287,,,,,,,1.0,0.014718256890773773
35,287,,,1.0,,0.004917319864034653,,,
36,289,,,,1.0,,0.00525807635858655,,
36,294,,,,1.0,,0.002682408085092902,,
